date_checked,permit_group,source_url,source_last_updated,method,verdict,summary,conflict_id
2026-07-23,seki,https://www.nps.gov/seki/planyourvisit/wilderness_permits.htm,2025-11-25,user-pasted-full-text,confirms-existing,"First independent verification of this permit_group (previously web-search synthesis only). CONFIRMS everything already on file, word for word: season is exactly May 22 - Sep 26 2026; fee is exactly $15/trip + $5/person; reservation mechanism is genuinely a simple daily 7am-Pacific rolling release up to 6 months out, NOT a lottery -- no Yosemite-style surprise this time. ADDS real logistics detail not previously captured: permits must be physically picked up at a trailhead Wilderness Office (a recreation.gov confirmation email is not valid), pickup window 1pm day-before to 10am day-of or the reservation releases to walk-ups; per-person fee refundable if cancelled 1+ week ahead; walk-up permits available same fee starting 1pm the day before. BROADENS the interagency reciprocity note: source explicitly names Sierra NF and Yosemite NP as reciprocal agencies too, not just Inyo NF as previously noted. SURFACES A NEW OPEN QUESTION rather than resolving it: entries via Jennie Lakes Wilderness (Sequoia NF) need a SEKI permit if continuing into the park via the JO Pass/Belle Canyon/Sugarloaf entry points specifically -- even though Jennie Lakes itself needs no permit for use that stays within it. This project's Marvin Pass trailhead (Jennie Lakes, tagged permit_group=none) serves Whaleback and Glacier Ridge; whether those specific summits cross into SEKI via one of the three named entry points is NOT confirmed -- flagged in the seki row's interagency_note, permits.csv NOT changed for the none/Marvin Pass row pending that check.",
2026-07-23,gtw_free,https://www.fs.usda.gov/r05/sequoia/recreation/golden-trout-wilderness,2025-09-03,user-screenshot-and-pasted-text,confirms-existing,"First independent verification of this permit_group (previously web-search synthesis only). CONFIRMS word for word: overnight-only permit requirement ('Visitor permits (required only for overnight stays...) are available from forest offices near wilderness entry points'), day-use needs no permit, wilderness spans both Sequoia and Inyo NF. Also confirms a California Campfire Permit is separately required for campfires/stoves specifically for this wilderness (previously only asserted as a general assumption in the 'none' group). PARTIAL -- doesn't independently nail down 'free' or 'self-issue' specifically: the page's own wording is 'available from forest offices near entry points', not an explicit self-issue-kiosk statement. Kept the existing self-issue framing since it matches the pattern confirmed elsewhere (inyo_hoover_nonquota, stanislaus_free), but flagged as not 100% independently confirmed for this specific page. User expanded the page's collapsed 'Passes and Permits' accordion, which turned out to cover only the campfire permit, not the wilderness permit; 'Seasons of Use' and 'Restrictions' sections were not checked.",
2026-07-23,gtw_free,https://www.fs.usda.gov/r05/sequoia/recreation/golden-trout-wilderness,2025-09-03,user-screenshot,confirms-existing,"Follow-up on the same Golden Trout Wilderness page (user intended to check Mokelumne Wilderness this round but re-sent screenshots of this same page with different accordions expanded -- content confirmed by 'Kern River Ranger District'/'Western Divide Ranger District' contact info, unmistakably Golden Trout, not Mokelumne). Adds previously-uncaptured detail rather than changing anything: 'Seasons of Use' section says 'June-November' -- a general trail-access/snow-free window, NOT a permit quota season (the wilderness remains confirmed non-quota). 'Restrictions' section: campfires may be prohibited for dispersed camping depending on current fire danger. Ranger district contacts added: Kern River RD (760-376-3781), Western Divide RD (559-539-2607, Springville CA, Mon-Fri 8am-4:30pm). 'Passes and Permits' accordion still not expanded this round (already captured in the prior entry) -- the free/self-issue framing remains an inference, not a direct quote, same as before.",
2026-07-23,mokelumne_free,https://www.fs.usda.gov/r05/eldorado/wilderness/mokelumne-wilderness-general-overnight-permits,2026-03-03,user-screenshot,corrects-existing,"First independent verification of this permit_group (previously web-search synthesis only) -- and this time the correct page (a prior round mistakenly re-sent Golden Trout Wilderness screenshots). CONFIRMS no quota, no fee, required year-round. CORRECTS an oversimplification: this isn't a simple trailhead self-issue kiosk -- it's specifically EITHER download-fill-print-sign-scan-email to SM.FS.mowilderness@usda.gov, OR an in-person visit to the Amador Ranger District office with limited hours (Tue-Sat 8am-4:30pm until September, closed federal holidays). ADDS real detail not previously captured: max group size 8 outside the CPMA, one-mile buffer between groups, one permit per group per trip, must enter at the designated trailhead, the specific Forest Order citation for the Mokelumne-wide campfire ban (03-23-10 -- this project had never cited a specific order number before, just '(Forest Order)' generically, so no actual conflict to reconcile), and the Emigrant Lake 300ft camping setback (waived when snow-covered).",
2026-07-23,stanislaus_free,https://www.fs.usda.gov/r05/stanislaus/permits/wilderness-permits,2026-07-12,user-pasted-full-text,corrects-existing,"First independent verification of this permit_group (previously web-search synthesis only) -- the freshest source_last_updated found in this whole dataset. CONFIRMS no quota for Emigrant/Carson-Iceberg/Mokelumne (Stanislaus portion), and campfire-permit requirement via CAL FIRE. CORRECTS the acquisition process: not simply '24/7 self-issue at Summit and Calaveras Ranger Stations' as previously stated -- it's in-person during station hours (Sugar Pine RS on Hwy 108 for the Summit RD/Sonora Pass corridor, Calaveras RS on Hwy 4 or Lake Alpine RS) with self-issue kiosks as a FALLBACK only when stations are closed; Groveland RS (Hwy 120) issues by phone/in-person but ONLY 24 hours ahead (up to 3 days for holiday weekends); long-distance trips exiting toward Tuolumne Meadows/Echo Summit CANNOT use self-issue kiosks at all. MAJOR CORRECTION, surfaced a real trailhead-tagging error: the source states outright 'Ebbetts Pass is within the boundary of the Humboldt-Toiyabe National Forest', not Stanislaus NF as this project had it tagged -- retagged trailheads.csv to a new toiyabe_free permit_group; Sonora Pass confirmed correctly as Stanislaus NF. SHARPENS the Yosemite Kibbie Lake/Lake Eleanor interagency detail with exact figures: 25 people/day via Shingle Springs (Kibbie Lake), 10/day via Lake Eleanor (Yosemite NP's own quota); call Groveland 1 day ahead, recommended 8:30am, Friday if starting Sun/Mon (office closed Sat/Sun/holidays); bear canisters REQUIRED and dogs NOT allowed once inside Yosemite wilderness (unlike the Stanislaus side, where bear canisters are confirmed NOT required).",
2026-07-23,toiyabe_free,https://www.fs.usda.gov/r04/humboldt-toiyabe/permits,,inferred-from-cross-reference,new-group,"New permit_group, NOT independently confirmed from Humboldt-Toiyabe NF's own site -- built from (a) the Stanislaus NF page's explicit statement that Ebbetts Pass is Humboldt-Toiyabe NF jurisdiction and (b) the general non-quota-wilderness pattern already confirmed for every other free/self-issue group in this dataset (inyo_hoover_nonquota, gtw_free, mokelumne_free, stanislaus_free). This is the lowest-confidence row in the dataset by design -- flagged as such in its own notes field. Should be checked directly against fs.usda.gov/r04/humboldt-toiyabe (or by phone) before relying on it, same as any other unverified row.",
2026-09-12,desolation,https://www.recreation.gov/permits/233261,,user-screenshot,confirms-existing,"Independent check of the live recreation.gov permit page and its booking UI. CONFIRMS the 45 destination zones (the booking dropdown lists exactly 01-45), the first-night-in-selected-zone rule, the Friday-before-Memorial-Day through Sept 30 quota season, the 6-month reservation window, and max group size 12. ADDS several hard requirements this project had never captured: bear canister REQUIRED with fines up to $5,000 under 36 CFR 261.58(cc); a signed PRINTED permit must be carried by the group leader and a reservation confirmation is explicitly NOT a valid permit; permits print starting 7 days before entry in quota season; campfires prohibited but camp stoves permitted. ADDS a constraint to the roam-after-first-night rule that was missing here: you must exit by the last date booked. Also names the 13 access trailheads (Loon Lake, Van Vleck, Rockbound, Twin Lakes, Lyons Creek, Pyramid Creek, Ralston Peak, Echo Lake, Glen Alpine, Mt. Tallac, Bayview, Eagle Lake, Meeks Bay) -- this project has only 3 of them.",
2026-09-12,desolation,http://desowv.org/files/Desolation_Wilderness_Trip_Planning_Guide_2022_08_18.pdf,2022-09-08,user-supplied-pdf,confirms-existing,"USFS-authored trip planning guide (PDF metadata author 'Rhodewalt, Amelia -FS', USDA Forest Service branding), hosted by the Desolation Wilderness Volunteers rather than on an fs.usda.gov URL, and four years old -- treated as corroborating but stale, with the 2026 recreation.gov check taking precedence on any disagreement. Note its filename date (2022-08-18) and internal CreationDate (2022-09-08) differ. INDEPENDENTLY CORROBORATES the 45 zones, the first-night zone semantics almost verbatim, the Memorial-Day-Friday-to-Sept-30 quota season (backing this project's earlier correction away from Oct 18), and max group size 12 with children counted. SOURCES the two-thirds reservable / one-third same-day walk-up split now recorded in release_policies.csv, which was not represented anywhere before. ADDS the $20 annual pass, the no-refund window inside 7 days, the four Special Management Areas by name, and stock limits.",
2026-09-12,desolation,https://www.fs.usda.gov/sites/nfs/files/r05/eldorado/publication/desolation_wilderness_zone_map.pdf,2011-05-12,user-supplied-pdf,confirms-existing,"Official Eldorado NF / LTBMU zone map (ESRI ArcMap export, 2011 -- the oldest source consulted for this group, so positional/boundary detail is not treated as current). Its text layer carries zone labels 1 through 45 with no gaps, a fourth independent confirmation of the count and the first evidence they are contiguously numbered. CONFIRMS campfires prohibited year-round, group max 12, the 100 ft camping setback, and the four Special Management Areas by name. Its rules block states a permit is required for day AND overnight use year-round, siding with recreation.gov against Eldorado NF's day-use page (see the unresolved-conflict entry). Shows 13 trailheads INCLUDING Tells Creek and EXCLUDING Van Vleck -- the reverse of the 2026 sources, indicating the access roster genuinely changed rather than one source being wrong. Does NOT carry per-zone quota numbers in any extractable form, so those remain unknown.",
2026-09-12,desolation,https://www.fs.usda.gov/r05/eldorado/wilderness/desolation-day-use-permits-parking,,web-search-snippet,unresolved-conflict,"DAY-USE PERMIT REQUIREMENT IS CONTESTED BETWEEN TWO OFFICIAL SOURCES. Eldorado NF's own day-use page states day use permits are available at trailheads only from the start of quota season through Sept 30, and that 'outside of these times no day use permits are needed'. recreation.gov's permit page states a wilderness permit is required for overnight camping AS WELL AS day visits, year-round; the official 2011 zone map says the same. This project currently asserts year-round, siding with two sources against the land manager's own page -- normally the land manager would win on a regulatory question, which is why this is logged rather than resolved. IMPORTANT PROVENANCE CAVEAT: the Eldorado NF text was read via a web-search snippet, not a direct page fetch (blocked from this environment), so it needs a first-hand read before being acted on. Do not silently flip the value on snippet evidence alone.",desolation-day-use-season
2026-09-12,desolation,http://desowv.org/files/Desolation_Wilderness_Trip_Planning_Guide_2022_08_18.pdf,2022-09-08,user-supplied-pdf,unresolved-conflict,"FEE TIER BOUNDARY DISAGREES ACROSS SOURCES. This project records $10 for 2-14 nights (from the 2026 recreation.gov check); the 2022 USFS guide states $10 for 2-13 nights. Could be a real fee change since 2022 or a misreading in either direction -- neither the current recreation.gov permit page text nor the booking UI screenshots captured so far show the fee table, so nothing on hand settles it. Kept at 2-14 with the conflict noted in fee_notes rather than silently switched. SEPARATELY CORRECTED, not a conflict: fees are per ADULT, not per person -- children 12 and under are free, which this project had omitted entirely and which materially changes the cost for a family.",desolation-fee-tier
2026-09-12,desolation,https://www.recreation.gov/permits/233261,,user-screenshot,unresolved-conflict,"Read the permit page's Fees & Cancellation tab, which no earlier check had reached. RESOLVES THE FEE TIER CONFLICT logged earlier today: the page states '$5 per person for the 1st night; $10 for 2-14 nights' for adults over 12, confirming this project's 2-14 and showing the 2022 USFS guide's 2-13 is simply out of date. The per-ADULT framing and the free-for-under-13 rule are likewise confirmed verbatim. ADDS a large amount of fee and booking policy never captured here: recreation fees are capped at $100 per permit; a Desolation annual pass waives the recreation fee but NOT the $6 reservation fee; America the Beautiful passes (Senior and Access included) explicitly do not apply; cancelling 8+ days out refunds recreation fees while 7 days or less refunds nothing and a no-show refunds nothing; changes are barred entirely once the permit becomes printable, and otherwise cost $5 (party size, days, or first-night zone) or a full cancel-and-rebook at $6 (entry date). ADDS the parking waiver, and NAMES FIVE day-use areas with parking fees -- Pyramid Creek, Eagle Falls, Loon Lake, Rockbound, and Twin Lakes -- where the 2022 guide named only the first three. ADDS livestock spacing rules, the 150-yard firearm restriction, water treatment guidance, and the commercial-use/outfitting special use permit requirement. VERDICT IS STILL unresolved-conflict because the DAY-USE question (year-round per recreation.gov and the zone map, quota-season-only per Eldorado NF's own page) remains open and nothing here speaks to it. Recorded this way deliberately: unresolved_conflicts() takes only the latest entry per permit_group, so logging the fee resolution under a clean verdict would have masked the still-open day-use conflict.",desolation-fee-tier
2026-09-12,desolation,https://www.recreation.gov/permits/233261,,user-screenshot,unresolved-conflict,"Read the permit page's 'How Does the Quota Work' and 'Need to Know' sections. NEW CONFLICT FOUND on the Special Management Area camping distance: recreation.gov says camp within 30 ft of the marked post, the 2022 USFS trip guide says 25 ft. Taken as 30 ft here on the same newer-source-wins basis used for the fee tier, with the disagreement recorded rather than dropped. CORRECTS this project's own modelling of the Tahoe Rim Trail entry: it was recorded as 'not itself a zone', but the source states plainly that 'a new zone has been created' for TRT thru-hikers, live 2026-03-20 09:00 PST, for individuals completing the full loop in a single continuous journey -- it is still carried without a zone_code, since the same page counts the destination-zone quota as 45 without it. ADDS the quota's unit of measure, which was never stated here: it counts INDIVIDUALS selecting a zone for their first night, not permits or groups. ADDS the agency's own rationale for the model -- a destination-based quota was chosen over a trailhead-based one because Desolation is small and many zones are reachable from one trailhead, which is direct confirmation that zone and trailhead are properly separate entities here. ADDS that off-quota-season has NO per-zone limit at all (group cap still applies), refining the off_season release phase. REFINES the Special Management Areas: only the north and east sides of Lake of the Woods are included, and if every designated site is occupied the fallback is to camp 500 ft from the lakeshore. ADDS waste rules (200 ft, 6-8 inch cat hole, pack out toilet paper, no soap of any kind in water, cookware cleaned 200 ft away), restoration-site closures, protection of natural features, and -- entirely absent before -- that DOGS ARE PERMITTED subject to El Dorado County's mandatory leash law, which matters because neighbouring Yosemite bans them. Verdict stays unresolved-conflict: the day-use year-round question is still open, and the new 25-vs-30 ft disagreement joins it.",desolation-sma-distance
2026-09-12,none,https://www.fs.usda.gov/r05/eldorado/recreation/camping-cabins,,user-screenshot,corrects-existing,"Eldorado NF's camping page states the California Campfire Permit requirement in full, and reading it exposed that this project had the rule WRONG in five places and inconsistent across seven. CORRECTS THE SCOPE: the permit covers campfires, stoves, LANTERNS and BARBEQUES -- five permit_groups described it as applying to a 'stove' alone. CORRECTS THE EXEMPTION: it is required outside a campground or RV *and in some developed campgrounds*, so 'outside a developed campground' was not a safe exemption as previously written. ADDS two facts held nowhere: the signer must be 18 or older (a group of minors cannot self-issue), and the legal basis is 36 CFR 261.52(k) / PRC 4433. URL CORRECTION: this project carried three different links for one permit (fs.usda.gov/main/r5/passes-permits on the 'none' group, readyforwildfire.org on gtw_free, nothing on the rest), and the Eldorado NF page itself cites 'www.preventwildfiresca.org', which does not resolve. The working path is readyforwildfire.org/prevent-wildfire/campfire-safety, which links through to the permit portal at permit.preventwildfiresca.org -- so gtw_free's link was the closest to right all along. STRUCTURAL FIX: because this is California state law rather than a per-wilderness rule, it is now stored once in data/regulations.csv scoped to the CA jurisdiction and inherited by every group, and the seven duplicated copies have been removed. ALSO ADDS an Eldorado NF-wide rule: dispersed camping outside a developed campground is capped at 10 days per ranger district per calendar year.",
2026-09-12,desolation,https://www.recreation.gov/permits/233261,,log-migration,corrects-existing,"Bookkeeping, no new evidence. The fee tier conflict was settled earlier today by the permit page's Fees & Cancellation tab ('$5 per person for the 1st night; $10 for 2-14 nights' for adults over 12), but that entry had to carry verdict=unresolved-conflict because unresolved_conflicts() tracked only one conflict per permit_group -- a clean verdict would have masked the still-open day-use question. Conflicts now carry a conflict_id and are opened and closed independently, so this entry closes desolation-fee-tier on the evidence already logged. The earlier entry stands unedited: the log is append-only, and the workaround it records is part of the history.",desolation-fee-tier
